date,max weight,tag,comment,unit
2021-23-06 07:31:44,46.6436711,arqueo derecha 23 de junio,,SI
2021-23-06 07:32:09,34.6386205,arqueo izquierda 23 de junio,,SI
2021-23-06 07:32:49,15.5301648,monodedo dedo medio derecha.ext 23 de junio,,SI
2021-23-06 07:33:58,16.0024148,monodedo medio izquierda Ext. 23 de junio,,SI
2021-23-06 07:35:06,12.9922544,monodedo medio arqueo derecha.23 de junio,,SI
2021-23-06 07:35:56,11.3405686,monodedo medio arqueo izquierda 23 de junio,,SI
2021-30-06 07:21:25,45.7304159,arqueo derecha,,SI
2021-30-06 07:21:41,35.1916013,arqueo izquierda,,SI
2021-30-06 07:22:47,48.4484868,monodedo medio derecha,,SI
2021-30-06 07:23:09,10.1029973,monodedo medio izquierda,,SI
2022-20-09 17:07:03,44.0336599,Fmax,,SI
2022-20-09 17:07:35,38.9443121,Fmax izquierda,,SI
2022-27-09 07:19:09,33.2882969,Fmax.D,Regleta tamaño desconocido,SI
2022-27-09 07:20:58,36.9263851,Fmax.I,regleta tamaño desconocido,SI
2022-29-09 07:38:20,40.7210401,Fmax.D,pre suspensiones,SI
2022-29-09 07:39:02,42.3503736,Fmax.I,pre suspensiones ,SI
2022-29-09 07:56:37,41.7401812,Fmax.D,tras suspensiones,SI
2022-29-09 07:57:03,39.9439852,Fmax.I,tras suspensiones,SI
2022-04-10 07:26:38,44.8580632,Fmax.D,,SI
2022-04-10 07:27:00,43.2719502,Fmax.I,,SI
2022-06-10 17:09:33,38.8095567,Fmax.D,,SI
2022-11-10 17:57:55,42.7950146,Fmax.D,,SI
2022-11-10 17:58:21,39.4334462,Fmax.I,,SI
2022-13-10 21:05:18,41.7733995,Fmax.D,,SI
2022-13-10 21:05:34,42.9461442,Fmax.I,,SI
2022-18-10 07:56:33,34.7888899,Fmax.I,,SI
2022-18-10 07:56:52,35.1942931,Fmax.D,,SI
2022-25-10 07:53:58,38.3982289,Fmax.D,,SI
2022-25-10 07:54:29,39.9634602,Fmax.I,,SI
2022-25-10 08:14:41,36.5147198,Fmax.I.postbloq.1,,SI
2022-25-10 08:23:34,37.6356457,Fmax.I.postbloq.3,,SI
2022-25-10 08:27:34,40.2222508,Fmax.I.postbloq.4,,SI
2022-25-10 08:32:02,39.1757230,Fmax.I.postbloq.5,,SI
2022-27-10 08:03:57,41.5434545,Fmax.D,,SI
2022-27-10 08:04:16,40.3316625,Fmax.I,,SI
2022-27-10 08:17:10,38.7632762,Fmax.I.postsusp,,SI
2022-27-10 08:17:33,37.1130115,Fmax.D.postsusp,,SI
2022-27-10 08:24:27,43.2714664,Fmax.I.postbloq.1,,SI
2022-27-10 08:24:47,40.4222347,Fmax.D.postbloq.1,,SI
2022-27-10 08:30:33,44.3733570,Fmax.I.postbloq.2,,SI
2022-27-10 08:31:27,38.3425762,Fmax.D.postbloq.2,,SI
2022-27-10 08:36:05,45.0791217,Fmax.I.postbloq.3,,SI
2022-27-10 08:36:29,42.4226848,Fmax.D.postbloq.3,,SI
2022-27-10 08:40:32,42.6148464,Fmax.I.postbloq.4,,SI
2022-27-10 08:40:49,42.6294643,Fmax.I.postbloq.4,,SI
2022-27-10 08:45:47,39.2080661,Fmax.I.postbloq.5,,SI
2022-27-10 08:46:07,35.8717472,Fmax.D.postbloq.5,,SI
2022-02-11 07:41:07,41.4742012,Fmax.D,,SI
2022-02-11 07:41:23,41.2454223,Fmax.I,,SI
2022-02-11 07:55:13,43.9573181,Fmax.D.postsusp,,SI
2022-02-11 07:55:31,39.9746292,Fmax.I.postsusp,,SI
2022-02-11 08:00:20,36.5394371,Fmax.D.postbloq.1,,SI
2022-02-11 08:00:36,39.7308929,Fmax.I.postbloq.1,,SI
2022-02-11 08:05:39,38.1351631,Fmax.D.postbloq.2,,SI
2022-02-11 08:05:57,37.9991882,Fmax.I.postbloq.2,,SI
2022-02-11 08:10:47,34.5302932,Fmax.D.postbloq.3,,SI
2022-02-11 08:11:10,37.7245643,Fmax.I.postbloq.3,,SI
2022-02-11 08:16:53,37.7764775,Fmax.D.postbloq.4,,SI
2022-02-11 08:17:12,41.6851117,Fmax.I.postbloq.4,,SI
2022-08-11 07:46:55,37.0419191,Fmax.I,,SI
2022-08-11 07:47:13,33.4286455,Fmax.D,,SI
2022-08-11 08:04:09,42.7049333,Fmax.D.postsusp,,SI
2022-10-11 07:48:52,40.8322968,Fmax.D,,SI
2022-10-11 07:49:13,41.8837800,Fmax.I,,SI
2022-10-11 08:03:23,38.7588579,Fmax.D.postsusp,,SI
2022-10-11 08:03:44,35.0773546,Fmax.I.postsusp,,SI
2022-10-11 08:17:28,41.3114688,Fmax.D.postbloq.2,,SI
2022-10-11 08:18:08,40.6248386,Fmax.I.postbloq.2,,SI
2022-10-11 08:26:30,36.6721579,Fmax.D.postbloq.4,,SI
2022-10-11 08:26:50,36.7268912,Fmax.I.postbloq.4,,SI
2022-15-11 07:39:11,39.5422731,Rafa.max.D,,SI
2022-15-11 07:39:26,43.5612893,Rafa.max.I,,SI
2022-22-11 07:52:48,40.3088404,Fmax.D,,SI
2022-22-11 07:53:07,39.5541712,Fmax.I,,SI
2022-20-12 16:23:26,42.7531549,Fmax.D,,SI
2022-20-12 16:23:42,41.5078088,Fmax.I,,SI
2022-20-12 17:15:07,37.5395394,Fmax.I.post.reox3,,SI
2022-20-12 17:21:31,39.9227639,Fmax.I.post.reox3,,SI
2022-22-12 07:53:44,39.7948963,Fmax.I,,SI
2022-22-12 07:54:03,38.6876652,Fmax.D,,SI
2023-10-01 08:00:00,41.9426898,Fmax.D,,SI
2023-12-01 07:57:26,40.8150104,Fmax.I,,SI
2023-12-01 07:57:44,40.6321720,Fmax.D,,SI
2023-19-01 07:56:34,43.1656471,Fmax.D,,SI
2023-19-01 07:56:54,38.9633079,Fmax.I,,SI
2023-26-01 08:06:49,38.7376857,Fmax.I,,SI
2023-26-01 08:07:19,42.9787784,Fmax.D,,SI
2023-31-01 07:48:25,37.4628181,Fmax.I,,SI
2023-31-01 07:48:42,40.9829139,Fmax.D,,SI
2023-02-02 07:59:39,47.1290574,Fmax.D,,SI
2023-02-02 07:59:55,40.5803552,Fmax.I,,SI
2023-07-02 07:52:43,47.2258927,Fmax.D,,SI
2023-07-02 07:52:58,43.4981095,Fmax.I,,SI
2023-09-02 07:59:58,39.5841844,Fmax.I,,SI
2023-09-02 08:00:18,41.0795305,Fmax.D,,SI
2023-21-02 07:50:05,43.1498146,Fmax.I,,SI
2023-21-02 07:50:23,46.1892204,Fmax.D,,SI
2023-23-02 07:57:05,44.1888161,Fmax.D,,SI
2023-23-02 07:57:24,43.5770226,Fmax.I,,SI
2023-28-02 07:50:19,41.9016037,Fmax.D,,SI
2023-02-03 07:53:29,42.9948006,Fmax.D,,SI
2023-20-04 07:34:33,41.4760915,Fmax.D,,SI
2023-25-04 10:05:24,50.4276846,Fmax.D,,SI
2023-25-04 10:05:46,45.5885389,Fmax.I,,SI
2023-28-04 14:34:01,39.4926778,Fmax.D,,SI
2023-09-05 11:16:20,42.2346939,Fmax.D,,SI
2023-09-05 11:16:46,39.0765060,Fmax.I,,SI
2023-16-05 08:25:44,44.1432117,Fmax.D,,SI
2023-16-05 08:26:08,40.4451488,Fmax.I,,SI
2023-23-05 10:50:13,42.9190242,Fmax.D,,SI
2023-23-05 10:50:48,40.1378276,Fmax.I,,SI
2023-25-05 11:04:19,43.6430507,Fmax.D,,SI
2023-25-05 11:04:38,40.9484401,Fmax.I,,SI
2023-30-05 08:07:37,43.8319554,Fmax.D,,SI
2023-30-05 08:08:00,41.9128003,Fmax.I,,SI
2023-06-06 10:44:34,45.4551367,Fmad.D,,SI
2023-06-06 10:44:49,43.6029982,Fmax.I,,SI
2023-08-06 12:30:37,48.4575069,Fmax.D,,SI
2023-08-06 12:30:58,47.7363498,Fmax.I,,SI
2023-13-06 08:32:22,45.9812803,Fmax.D,,SI
2023-13-06 08:33:11,43.7268476,Fmax.I,,SI
2023-15-06 08:21:58,46.8896879,Fmax.D,,SI
2023-15-06 08:22:43,42.6871046,Fmax.I,,SI
2023-15-06 08:24:15,43.3862661,Fmax.I,,SI
